_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
nan,81726.49312877655,2408551,nan,0,0,12560,MILP,{},"time limit exceeded, no integer solution",108,60.098506927490234,12400,483720,,,,,,,,,,,,,,,,,,,,160,79.99999999999993,dr_bf_c:19n-76m-EON19_10_1_80_1.0,
80.00000000000006,17559.928533554077,618822,0.0,34217,1240,1539,MILP,{},integer optimal solution,101,44.783467054367065,,155952,0,0,92,0,0,0,65,0,158,13,37,9,7,0,0,0,0,0,119,,25.37777777777778,ds_acc_f:21n-70m-SpanishTelefonica_30_3_66_0.2,80.00000000000006
nan,83447.49290084839,606953,nan,0,0,1440,MILP,{},"time limit exceeded, no integer solution",108,60.00558590888977,,152010,,,,,,,,,,,,,,,,,,,,,9.0,nls_c:21n-70m-SpanishTelefonica_30_3_66_0.2,
nan,96916.73451328278,572846,nan,0,0,5278,MILP,{},"time limit exceeded, no integer solution",108,60.003729820251465,5226,114803,,,,,,,,,,,,,,,,,,,,52,26.0,dr_bf_c:43n-176m-EuroLarge_100_30_26_1.0,
nan,77481.31134605408,4054618,nan,0,0,52316,MILP,{},"time limit exceeded, no integer solution",108,60.04453492164612,,564140,,,,,,,,,,,,,,,,,,,,,58.0,dsl_ascc_c:28n-82m-EURO28_10_1_58_1.0,
25.0,24886.729543685913,1405,0.0,332770,68277,150,MILP,{},integer optimal solution,101,13.451491832733154,144,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,2,6,3.0,dr_bf_c:14n-46m-Generic-Deutsche-Telekom-DT_30_9_20_0.2,25.0
35.0,659.7570457458496,9160,0.0,6187,198,790,MILP,{},integer optimal solution,101,0.7666141986846924,400,2015,0,0,59,0,0,2,26,0,101,1,12,12,8,0,19,0,0,0,42,390,10.369047619047619,dr_bf_f:19n-76m-EON19_10_3_26_0.2,35.0
nan,34324.05447769165,5624560,nan,0,0,34640,MILP,{},CPLEX Error  1001: Out of memory.,1001,29.94104290008545,,1133160,,,,,,,,,,,,,,,,,,,,,298.0,dr_bf_m:43n-176m-EuroLarge_10_1_80_1.0,
144.0,17667.428765296936,1630990,0.0,561,0,15050,MILP,{},integer optimal solution,101,25.909559965133667,14878,330111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,144.0,dr_bf_m:10n-44m-SmallNet_100_10_86_1.0,144.0
32.0,256.2650957107544,6564,0.0,868,0,708,MILP,{},integer optimal solution,101,0.27892184257507324,356,1486,0,0,31,0,0,0,22,0,52,3,16,1,0,0,24,0,0,0,29,352,11.38888888888889,dr_bf_f:24n-86m-UBN24_10_3_22_0.2,32.0
