_dettime,cuts_multi_commodity_flow,_best_bound,variables_continuous,_linear_nonzeros,objective_value,variables_integer,cuts_MIR,name,constraints,cuts_benders,cuts_flow_cover,_solve_status,_solve_status_code,cuts_RLT,_quality_metrics,cuts_clique,_problem_type,linear_relaxation,cuts_disjunctive,cuts_fractional,cuts_user,cuts_lift_and_project,variables_binary,_n_nodes_processed,cuts_GUB_cover,cuts_cover,_miprelgap,_ncolumns,_n_iterations,variables_user,cuts_flow_path,cuts_solution_pool,variables,exception,cuts_table,cuts_zero_half,cuts_BQP,cuts_implied_bound,_time,cuts_local_implied_bound
17.290839195251465,2,20.0,0,1396,20.0,80,4,dr_bf_f:6n-9m-n6s9_100_30_20_0.2,326,0,20,integer optimal solution,101,0,{},0,MILP,5.6000000000000005,0,8,0,0,84,0,0,18,0.0,164,132,164,0,0,164,,0,2,0,5,0.057724952697753906,0
359.4078540802002,52,35.0,0,23976,35.0,18,22,dr_bf_m:11n-52m-Pan-European-COST239_100_30_30_0.5,4596,0,3,integer optimal solution,101,0,{},11,MILP,15.916666666666668,0,16,0,4,2100,0,0,116,0.0,2118,2101,2118,0,0,2118,,0,65,0,0,0.468595027923584,0
91318.14759254456,,nan,0,5394750,,0,,dsl_ascc_c:21n-70m-SpanishTelefonica_30_3_66_0.2,426889,,,"time limit exceeded, no integer solution",108,,{},,MILP,9.0,,,,,19530,0,,,nan,19530,0,19530,,,19530,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0485 s.
problem = MILP
",,,,,60.04848790168762,
,,,0,,,0,,dsl_asb_c:11n-52m-Pan-European-COST239_100_10_94_0.2,765533,,,,,,,,,,,,,,81810,,,,,,,81810,,,81810,<class 'cplex.exceptions.errors.CplexSolverError'>:CPLEX Error  1001: Out of memory.,,,,,,
118.14484977722168,36,31.0,0,9116,31.0,8,10,dr_aov_m:21n-70m-SpanishTelefonica_10_3_22_0.2,2010,0,1,integer optimal solution,101,0,{},32,MILP,11.0,0,9,0,0,1832,0,0,79,0.0,1840,1738,1840,0,0,1840,,0,29,0,1,0.14160418510437012,0
27.3570499420166,5,22.0,0,2190,22.0,95,14,dr_ob_f:6n-9m-n6s9_30_9_20_0.2,500,0,16,integer optimal solution,101,0,{},0,MILP,8.35,0,14,0,0,110,0,0,18,0.0,205,154,205,0,0,205,,0,3,0,6,0.05411386489868164,0
66085.31714630127,,nan,0,1504807,,0,,nls_c:11n-52m-Pan-European-COST239_100_30_30_0.5,377100,,,"time limit exceeded, no integer solution",108,,{},,MILP,9.0,,,,,3168,0,,,nan,3168,0,3168,,,3168,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0157 s.
problem = MILP
",,,,,60.01566004753113,
227.94903373718262,0,12.0,0,13680,12.0,0,0,nls_c:6n-9m-n6s9_30_15_12_0.2,3510,0,0,integer optimal solution,101,0,{},0,MILP,3.0,0,0,50,0,324,58,0,0,0.0,324,839,324,0,0,324,,0,0,0,0,0.15105891227722168,0
19875.448773384094,0,114.0,0,249240,114.0,1643,405,dr_ob_f:11n-52m-Pan-European-COST239_10_1_94_0.5,50840,0,235,integer optimal solution,101,0,{},0,MILP,49.166666666666664,0,53,0,12,2542,1511,3,108,0.0,4185,46706,4185,0,0,4185,,0,210,0,12,40.42801904678345,0
107983.04547977448,0,30.650252525252526,0,187598,33.0,0,3,ds_bf_c:11n-52m-Pan-European-COST239_10_3_30_0.5,46919,0,0,time limit exceeded,107,0,{},0,MILP,10.0,0,0,1085,0,630,14421,0,25,0.07120446893152586,630,195002,630,0,0,630,,0,0,0,0,60.00388789176941,0
3869.7549619674683,0,7.083333333333337,0,675488,7.083333333333337,0,5,dsl_bf_m:6n-9m-n6s9_30_15_12_0.5,82416,0,4,integer optimal solution,101,0,{},94,MILP,7.083333333333332,0,0,0,0,6696,0,9,12,0.0,6696,1477,6696,0,0,6696,,0,0,0,24,3.4960150718688965,0
73116.54923057556,,nan,0,7360063,,0,,dr_bsa_c:6n-9m-n6s9_100_10_60_0.5,707442,,,"time limit exceeded, no integer solution",108,,{},,MILP,21.0,,,,,2478,0,,,nan,2478,0,2478,,,2478,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0942 s.
problem = MILP
",,,,,60.094192028045654,
6587.4356479644775,0,37.0,0,569076,37.0,0,75,ds_bf_m:11n-52m-Pan-European-COST239_30_9_30_0.5,141506,0,23,integer optimal solution,101,0,{},20,MILP,20.416666666666668,0,15,0,0,2390,0,11,127,0.0,2390,4249,2390,0,0,2390,,0,114,0,2,8.311407089233398,0
382.07504177093506,0,31.0,0,35024,31.0,280,47,nls_f:21n-70m-SpanishTelefonica_10_3_22_0.2,8880,0,59,integer optimal solution,101,0,{},0,MILP,11.0,0,7,0,8,400,0,0,22,0.0,680,1033,680,1,0,680,,0,23,0,4,0.43788695335388184,0
113.57497596740723,3,12.0,0,30996,12.0,0,0,dr_bsa_m:6n-9m-n6s9_30_15_12_0.2,2073,0,0,integer optimal solution,101,0,{},14,MILP,4.3999999999999995,0,5,0,0,360,0,0,23,0.0,360,347,360,0,0,360,,0,2,0,0,0.13418817520141602,0
7989.952244758606,0,93.0,0,2560800,93.0,0,0,ds_acc_m:6n-9m-n6s9_10_1_60_1.0,641460,0,0,integer optimal solution,101,0,{},0,MILP,93.0,0,0,0,0,2820,0,0,0,0.0,2820,299,2820,0,0,2820,,0,0,0,0,10.486738920211792,0
333.8544273376465,0,31.0,0,35232,31.0,280,53,ds_acc_f:21n-70m-SpanishTelefonica_10_3_22_0.2,8952,0,62,integer optimal solution,101,0,{},0,MILP,11.0,0,14,0,0,324,0,0,22,0.0,604,885,604,2,0,604,,0,54,0,2,0.4809541702270508,0
94575.56449222565,,nan,0,708022,,0,,dsl_bf_c:43n-176m-EuroLarge_10_5_16_0.2,71284,,,"time limit exceeded, no integer solution",108,,{},,MILP,4.0,,,,,7744,0,,,nan,7744,0,7744,,,7744,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0125 s.
problem = MILP
",,,,,60.0124831199646,
105363.65042686462,,nan,0,459680,,0,,drl_bf_c:11n-52m-Pan-European-COST239_10_5_18_0.5,58912,,,"time limit exceeded, no integer solution",108,,{},,MILP,0.0,,,,,2912,0,,,nan,2912,0,2912,,,2912,"<class 'AssertionError'>:Solution not found: status  = time limit exceeded, no integer solution
time    = 60.0156 s.
problem = MILP
",,,,,60.01563501358032,
