_quality_metrics,cuts_solution_pool,name,cuts_MIR,cuts_disjunctive,cuts_implied_bound,cuts_fractional,cuts_lift_and_project,cuts_GUB_cover,cuts_clique,cuts_flow_path,cuts_cover,_n_iterations,variables_user,variables,_n_nodes_processed,cuts_RLT,_dettime,_best_bound,cuts_zero_half,variables_integer,_miprelgap,cuts_benders,_solve_status,linear_relaxation,exception,cuts_user,cuts_flow_cover,cuts_local_implied_bound,variables_binary,_linear_nonzeros,cuts_table,_ncolumns,_solve_status_code,constraints,_time,_problem_type,variables_continuous,cuts_multi_commodity_flow,cuts_BQP,objective_value
{},0,dr_ob_m:16n-46m-EURO_100_10_56_1.0,1,0,0,0,0,0,0,0,0,523,8288,8288,0,0,6552.925045967102,146.0,0,56,0.0,0,integer optimal solution,146.0,,0,0,0,8232,721896,0,8288,101,146804,8.251456022262573,MILP,0,0,0,146.0
{},0,dr_bf_m:20n-78m-EON20_30_15_14_1.0,2,0,0,0,0,0,0,0,0,83,2394,2394,0,0,360.882040977478,34.0,3,28,0.0,0,integer optimal solution,34.0,,0,1,0,2366,75586,0,2394,101,15687,0.34843015670776367,MILP,0,0,0,34.0
{},0,dr_aov_f:14n-46m-Generic-Deutsche-Telekom-DT_30_3_64_0.2,88,0,23,74,17,0,9,6,64,20481,1030,1030,741,0,691.0963296890259,77.0,88,480,0.0,0,integer optimal solution,22.01309523809524,,0,134,0,550,22580,0,1030,101,6830,0.8275210857391357,MILP,0,0,0,77.0
{},0,dr_ob_f:21n-70m-SpanishTelefonica_10_5_12_1.0,0,0,0,0,0,0,0,0,0,96,1824,1824,0,0,221.9129638671875,33.0,0,852,0.0,0,integer optimal solution,33.0,,0,0,0,972,49716,0,1824,101,10422,0.27129507064819336,MILP,0,0,0,33.0
{},0,dr_aov_m:21n-72m-Italian_30_9_22_0.5,6,0,1,6,0,0,13,0,49,961,2322,2322,0,0,162.39969635009766,39.0,37,18,0.0,0,integer optimal solution,31.5,,0,2,0,2304,31356,0,2322,101,8904,0.27388501167297363,MILP,0,0,0,39.0
{},0,dr_aov_m:28n-68m-EON_30_3_48_0.2,69,0,0,33,0,0,382,0,314,4293,3880,3880,0,0,709.1902780532837,86.0,171,16,0.0,0,integer optimal solution,30.21666666666667,,0,1,0,3864,29408,0,3880,101,7616,0.7619130611419678,MILP,0,64,0,86.0
{},0,dr_aov_f:28n-82m-EURO28_10_3_18_0.5,51,0,7,11,3,0,3,2,16,1635,1026,1026,0,0,291.37505435943604,41.0,50,504,0.0,0,integer optimal solution,20.5,,0,39,0,522,14292,0,1026,101,4362,0.4232320785522461,MILP,0,2,0,41.0
{},0,dr_bf_m:24n-86m-UBN24_30_9_22_0.5,14,0,0,19,0,0,41,0,129,1755,2550,2550,0,0,345.68462657928467,38.0,68,14,0.0,0,integer optimal solution,21.166666666666664,,0,2,0,2536,24408,0,2550,101,4777,0.45464015007019043,MILP,0,10,0,38.0
{},0,dr_aov_m:21n-78m-UKNet_10_5_14_0.2,0,0,0,13,0,0,11,0,20,300,1254,1254,0,0,38.62226104736328,14.999999999999998,8,4,0.0,0,integer optimal solution,4.400000000000001,,0,0,0,1250,4220,0,1254,101,688,0.0609588623046875,MILP,0,21,0,14.999999999999998
{},0,dr_ob_f:20n-78m-EON20_10_5_14_0.2,17,0,9,9,1,0,2,2,12,241,477,477,0,0,38.87356376647949,19.0,15,237,0.0,0,integer optimal solution,5.7666666666666675,,0,27,0,240,3288,0,477,101,771,0.1096351146697998,MILP,0,9,0,19.0
